Event_ID,irwinID,Incid_Name,Incid_Type,BurnBndAc,Ig_Date,Ig_Year,Ig_Month,STUSPS
UT3745811392919990319,NA,LOSTPEAK,Wildfire,2138,1999-03-19,1999,3,UT
UT3735711305719990322,NA,POCKET MESA,Prescribed Fire,1603,1999-03-22,1999,3,UT
UT3983811337019990330,NA,AVOCET,Unknown,2446,1999-03-30,1999,3,UT
ID4472611422219990427,NA,TABLE MOUNTAIN,Prescribed Fire,6528,1999-04-27,1999,4,ID
WY4362011069119990506,NA,S.GROSVENT,Prescribed Fire,1665,1999-05-06,1999,5,WY
AZ3662411371319990528,NA,JUMPSPRING,Wildfire,19621,1999-05-28,1999,5,AZ
NV3731011452819990529,NA,RAINBOW RA,Wildfire,1992,1999-05-29,1999,5,NV
NV3727011426819990529,NA,BLUEGARDEN,Wildfire,9817,1999-05-29,1999,5,NV
AZ3628711315919990604,NA,MT EMMA,Wildland Fire Use,1661,1999-06-04,1999,6,AZ
UT4010111281319990623,NA,PONY ROAD,Wildfire,3536,1999-06-23,1999,6,UT
AZ3614011366219990624,NA,TINCANEBIT,Prescribed Fire,4993,1999-06-24,1999,6,AZ
ID4289311345019990624,NA,WHISKEY BUTTE,Wildfire,7240,1999-06-24,1999,6,ID
ID4276811413819990624,NA,WILSON BUTTE,Wildfire,1730,1999-06-24,1999,6,ID
ID4292311353119990624,NA,BRIGHAM POINT,Wildfire,2651,1999-06-24,1999,6,ID
NV3965111978019990624,NA,RESERVOIR,Wildfire,4787,1999-06-24,1999,6,NV
ID4275411427619990625,NA,RED BRIDGE 2,Wildfire,1322,1999-06-25,1999,6,ID
ID4303411519819990625,NA,KINGS CROWN,Wildfire,2521,1999-06-25,1999,6,ID
CO4009210904019990625,NA,WALSH KNOLLS,Wildfire,1453,1999-06-25,1999,6,CO
UT4012011202119990625,NA,CEDAR VALLEY,Wildfire,3689,1999-06-25,1999,6,UT
NV4166711817819990627,NA,KINGS RIVER,Wildfire,1012,1999-06-27,1999,6,NV
UT3958811227419990628,NA,BROAD CANYON,Wildfire,1200,1999-06-28,1999,6,UT
AZ3608911361719990628,NA,TWIN COMPL,Prescribed Fire,4113,1999-06-28,1999,6,AZ
NV4195811760319990629,NA,HOUSE 80,Wildfire,1786,1999-06-29,1999,6,NV
NV4044311880219990630,NA,UNNAMED,Wildfire,1458,1999-06-30,1999,6,NV
NV3785411434119990701,NA,CONDOR 2,Wildfire,1949,1999-07-01,1999,7,NV
UT3904910914919990701,NA,LITTLE HOLE,Wildfire,2997,1999-07-01,1999,7,UT
CO3900410902419990702,NA,TOMS CYN,Wildfire,6030,1999-07-02,1999,7,CO
UT3972411225419990702,NA,RAILROAD,Wildfire,64598,1999-07-02,1999,7,UT
UT4047411241319990702,NA,RUSH,Wildfire,3450,1999-07-02,1999,7,UT
UT4008611183119990702,NA,WEST MOUNTAIN II,Wildfire,8476,1999-07-02,1999,7,UT
NV4079611590019990703,NA,HUNTER,Wildfire,4713,1999-07-03,1999,7,NV
UT3835611391719990703,NA,MEADOW SPRING,Wildfire,1332,1999-07-03,1999,7,UT
NV3956911959919990704,NA,PAH RAH,Wildfire,10080,1999-07-04,1999,7,NV
UT3814211317119990706,NA,BADGER PK,Wildfire,1062,1999-07-06,1999,7,UT
NV4108611692019990708,NA,CLOVER,Wildfire,72638,1999-07-08,1999,7,NV
NV3943111968419990708,NA,UNNAMED,Wildfire,2630,1999-07-08,1999,7,NV
ID4460711711119990709,NA,SHEEP CREEK,Wildfire,5018,1999-07-09,1999,7,ID
ID4325511417919990711,NA,WEDGE BUTTE,Wildfire,16234,1999-07-11,1999,7,ID
NV4078311629819990711,NA,SOAP,Wildfire,1782,1999-07-11,1999,7,NV
NV4062411784719990711,NA,LANG SYNE,Wildfire,22651,1999-07-11,1999,7,NV
UT4023311241919990711,NA,HIGHWAY 36,Wildfire,2541,1999-07-11,1999,7,UT
NV4086211424719990717,NA,PILOT,Wildfire,3021,1999-07-17,1999,7,NV
NV3726211489719990717,NA,DELAMAR,Wildfire,22689,1999-07-17,1999,7,NV
UT4182011299019990717,NA,WILDCAT,Wildfire,2037,1999-07-17,1999,7,UT
NV4067411604219990718,NA,RAIN,Wildfire,21939,1999-07-18,1999,7,NV
NV4021911579919990718,NA,RAILROAD PASS,Wildfire,3070,1999-07-18,1999,7,NV
NV4183711405919990719,NA,WAGON BOX,Wildfire,32132,1999-07-19,1999,7,NV
NV4033611985119990720,NA,DRY,Wildfire,9750,1999-07-20,1999,7,NV
ID4336511278819990720,NA,CEDAR BUTTE,Wildfire,49625,1999-07-20,1999,7,ID
ID4460111521619990720,NA,SOLDIER (SOLDIER),Wildfire,2594,1999-07-20,1999,7,ID
UT4195811225519990721,NA,SAMARIA,Wildfire,2142,1999-07-21,1999,7,UT
NV3919111813119990722,NA,SANDSPRGS,Wildfire,16246,1999-07-22,1999,7,NV
ID4286411519519990723,NA,BLACK MESA,Wildfire,1080,1999-07-23,1999,7,ID
UT4038711210219990724,NA,LONG RIDGE,Wildfire,1133,1999-07-24,1999,7,UT
UT4104211145819990724,NA,EAGLE CANYON,Wildfire,3936,1999-07-24,1999,7,UT
NV3951011950319990724,NA,UNNAMED,Wildfire,15703,1999-07-24,1999,7,NV
ID4459611329819990802,NA,TEXAS,Wildfire,1996,1999-08-02,1999,8,ID
UT4176011326319990802,NA,PETERSON,Wildfire,4465,1999-08-02,1999,8,UT
ID4537911512519990802,NA,LODGEPOLE,Wildfire,4699,1999-08-02,1999,8,ID
ID4518811520219990802,NA,FLOYDS COMPLEX (COPPER CAMP),Wildfire,1406,1999-08-02,1999,8,ID
ID4241511533019990803,NA,BUCK N DOE,Wildfire,9600,1999-08-03,1999,8,ID
ID4304511327219990803,NA,MULE BUTTE,Wildfire,138102,1999-08-03,1999,8,ID
ID4290611455319990803,NA,GOODTIME2,Wildfire,1399,1999-08-03,1999,8,ID
NV3963411947819990803,NA,WILCOX,Wildfire,7219,1999-08-03,1999,8,NV
NV4091011426219990803,NA,SILVER ZON,Wildfire,1166,1999-08-03,1999,8,NV
NV4053511811619990804,NA,UNNAMED,Wildfire,22484,1999-08-04,1999,8,NV
ID4308111233019990804,NA,RAWHIDE 2,Wildfire,2324,1999-08-04,1999,8,ID
NV3984111739119990804,NA,NEW PASS COMPLEX (NEW PASS-ANTELOPE),Wildfire,172226,1999-08-04,1999,8,NV
NV4059711672719990804,NA,MULECANYON,Wildfire,17331,1999-08-04,1999,8,NV
NV4093911702219990804,NA,IZZENHOOD,Wildfire,28424,1999-08-04,1999,8,NV
NV4048811570719990804,NA,HENZEL,Wildfire,2608,1999-08-04,1999,8,NV
NV4049411640819990804,NA,FRENCHIE,Wildfire,55277,1999-08-04,1999,8,NV
NV4077311800919990804,NA,DUN GLENN COMPLEX (COSGRAVE),Wildfire,31780,1999-08-04,1999,8,NV
NV4114511803919990804,NA,SOMBRERO,Wildfire,128143,1999-08-04,1999,8,NV
NV4050111851919990804,NA,DUN GLENN COMPLEX (POKER BROWN),Wildfire,236451,1999-08-04,1999,8,NV
NV4175311853719990804,NA,JUNGO COMPLEX,Wildfire,77045,1999-08-04,1999,8,NV
NV4037611762919990804,NA,SIARD RANC,Wildfire,2373,1999-08-04,1999,8,NV
NV4093511794019990804,NA,DUN GLENN COMPLEX (THE CYANCO),Wildfire,10102,1999-08-04,1999,8,NV
